21-11-2022 09:36:55 WARN  TestResultLoggerExtension:50 - Test Failed for test: [2] Create subtask for TOUCAN project, TOUCAN, TOUCAN-1 due to cause: org.opentest4j.AssertionFailedError
21-11-2022 09:37:13 WARN  TestResultLoggerExtension:50 - Test Failed for test: [3] Create subtask for COALA project, COALA, COALA-1 due to cause: org.opentest4j.AssertionFailedError
21-11-2022 09:37:31 WARN  TestResultLoggerExtension:37 - Test Successful for test: [1] Main Testing Project, Story
21-11-2022 09:37:45 WARN  TestResultLoggerExtension:37 - Test Successful for test: [1] Check bug issue type for JETI, JETI, Bug
21-11-2022 09:37:59 WARN  TestResultLoggerExtension:50 - Test Failed for test: [2] Check task issue type for JETI, JETI, Task due to cause: org.opentest4j.AssertionFailedError
21-11-2022 09:38:11 WARN  TestResultLoggerExtension:37 - Test Successful for test: [3] Check story issue type for JETI, JETI, Story
21-11-2022 09:38:23 WARN  TestResultLoggerExtension:50 - Test Failed for test: [4] Check bug issue type for TOUCAN, TOUCAN, Bug due to cause: org.opentest4j.AssertionFailedError
21-11-2022 09:38:35 WARN  TestResultLoggerExtension:50 - Test Failed for test: [5] Check task issue type for TOUCAN, TOUCAN, Task due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:34:37 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] MTP-2507
05-12-2022 11:34:52 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] MTP-2507
05-12-2022 11:35:04 WARN  TestResultLoggerExtension:39 - Test Successful for test: [1] Edit issues 1 for TOUCAN project, TOUCAN-1
05-12-2022 11:35:16 WARN  TestResultLoggerExtension:39 - Test Successful for test: [2] Edit issues 2 for TOUCAN project, TOUCAN-2
05-12-2022 11:35:28 WARN  TestResultLoggerExtension:39 - Test Successful for test: [3] Edit issues 3 for TOUCAN project, TOUCAN-3
05-12-2022 11:36:02 WARN  TestResultLoggerExtension:52 - Test Failed for test: [4] Edit issues 1 for JETI project, JETI-1 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:36:37 WARN  TestResultLoggerExtension:52 - Test Failed for test: [5] Edit issues 2 for JETI project, JETI-2 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:36:51 WARN  TestResultLoggerExtension:52 - Test Failed for test: [6] Edit issues 3 for JETI project, JETI-3 due to cause: org.opentest4j.AssertionFailedError
05-12-2022 11:37:07 WARN  TestResultLoggerExtension:52 - Test Failed for test: [7] Edit issues 1 for COALA project, COALA-1 due to cause: org.opentest4j.AssertionFailedError
